method,n_folds,mean_acc,std_acc,min_acc,max_acc,mean_worst_domain_acc,mean_best_domain_acc
erm,27,0.864860940862585,0.055989654611703805,0.7619791626930237,0.9607843160629272,0.8648609563156411,0.8648609563156411
dann,27,0.8359064790937636,0.052398007172080645,0.7467013597488403,0.9333333373069763,0.8359064857165018,0.8359064857165018
instance_norm,27,0.8928161131011115,0.04587527518609198,0.7887153029441833,0.949999988079071,0.8928161020632144,0.8928161020632144
