feature,hard_mean,easy_mean,mean_diff (easy-hard),hard_std,easy_std,ks_stat,ks_pvalue,wasserstein_dist,hard_batches,easy_batches
ER_iqr,0.08794771434739232,0.12200817273852105,0.03406045839112873,0.04986738202113785,0.05900256679837464,0.2916666666666667,6.725281380882066e-23,0.0342565368496192,"CP 32, CP 31, CP59","CP 27, CP60, CP 25"
corr_AGP_ER,0.7847590124110381,0.8167684650421143,0.03200945263107624,0.07702212400410767,0.05640695162427897,0.21166666666666667,3.5289215895971407e-12,0.03200945263107617,"CP 32, CP 31, CP59","CP 27, CP60, CP 25"
ER_median,0.06430065555032342,0.09606863008656849,0.03176797453624507,0.048676866752082125,0.0640983068072269,0.23833333333333334,2.337921249254021e-15,0.03180719022018215,"CP 32, CP 31, CP59","CP 27, CP60, CP 25"
corr_ER_Mito,0.6807895156741143,0.6506723677615325,-0.0301171479125818,0.11453401303416319,0.0935915217923003,0.185,2.181574110558202e-09,0.03112537369132042,"CP 32, CP 31, CP59","CP 27, CP60, CP 25"
ER_mean,0.08766681065782905,0.11589048474095762,0.028223674083128564,0.040379538971509796,0.0502153080266074,0.2683333333333333,2.1042608203144176e-19,0.028297334887708227,"CP 32, CP 31, CP59","CP 27, CP60, CP 25"
corr_DNA_ER,0.7696783475577831,0.7892897169291974,0.019611369371414278,0.08872373112569655,0.06537576448718838,0.145,6.421779688656354e-06,0.02447167058785756,"CP 32, CP 31, CP59","CP 27, CP60, CP 25"
RNA_p95,0.21002614924373725,0.23311830678830528,0.02309215754456803,0.11010138234184419,0.10621287312930411,0.12333333333333334,0.0002140845532836797,0.023144445123150798,"CP 32, CP 31, CP59","CP 27, CP60, CP 25"
corr_ER_RNA,0.4229713847488165,0.4160851463675499,-0.006886238381266618,0.09794089045172705,0.0804897876793838,0.11666666666666667,0.0005612753994472037,0.020141546701391535,"CP 32, CP 31, CP59","CP 27, CP60, CP 25"
AGP_p95,0.24409837198536835,0.2632614445593208,0.019163072573952472,0.09811984584680881,0.09746085770521874,0.125,0.0001668273704107718,0.01989509871136405,"CP 32, CP 31, CP59","CP 27, CP60, CP 25"
RNA_dynamic_range,0.19324837087731186,0.2122555609811096,0.019007190103797728,0.10427397871671526,0.0993811198453386,0.11833333333333333,0.000443332282726837,0.01930784369461844,"CP 32, CP 31, CP59","CP 27, CP60, CP 25"
AGP_iqr,0.09265359733408939,0.11018300956425567,0.017529412230166283,0.06541939411494177,0.06591082544695524,0.15166666666666667,1.9449077471682627e-06,0.017633987423032526,"CP 32, CP 31, CP59","CP 27, CP60, CP 25"
AGP_dynamic_range,0.23426830620132377,0.2504902022394041,0.01622189603808033,0.09308803057030597,0.09203964690183002,0.11666666666666667,0.0005612753994472037,0.017110784939179897,"CP 32, CP 31, CP59","CP 27, CP60, CP 25"
AGP_median,0.04203921689807127,0.055653596458335716,0.013614379560264449,0.0446539554955644,0.04871407105281437,0.16333333333333333,2.108860402315273e-07,0.013653595244201523,"CP 32, CP 31, CP59","CP 27, CP60, CP 25"
AGP_mean,0.07653277298125127,0.08930493381495277,0.012772160833701501,0.04218284603440314,0.04391167704904922,0.15,2.635159320182881e-06,0.012848825684438148,"CP 32, CP 31, CP59","CP 27, CP60, CP 25"
corr_AGP_DNA,0.966134879887104,0.953554139037927,-0.012580740849177041,0.017642884498936754,0.021099675131712875,0.32666666666666666,1.0049550917674302e-28,0.012580740849177043,"CP 32, CP 31, CP59","CP 27, CP60, CP 25"
ER_std,0.07592621746473015,0.08840646190568804,0.012480244440957897,0.022585376528708873,0.02562368116264789,0.2633333333333333,1.0770256804588015e-18,0.01248284563732644,"CP 32, CP 31, CP59","CP 27, CP60, CP 25"
DNA_p95,0.24309150979233285,0.24939249075266215,0.0063009809603293,0.0832421540070152,0.08466905566302253,0.08166666666666667,0.03652927481633328,0.011425164207816047,"CP 32, CP 31, CP59","CP 27, CP60, CP 25"
corr_AGP_RNA,0.6775531379381815,0.6683879116177559,-0.009165226320425601,0.04444297942875038,0.0412432159845818,0.15,2.635159320182881e-06,0.010621113876501722,"CP 32, CP 31, CP59","CP 27, CP60, CP 25"
DNA_iqr,0.081934642700168,0.09193464285694063,0.010000000156772632,0.05440135439159605,0.05391172300027675,0.09333333333333334,0.010708019410213113,0.010196078564040359,"CP 32, CP 31, CP59","CP 27, CP60, CP 25"
DNA_dynamic_range,0.23124183610935384,0.2349153659967705,0.003673529887416649,0.07842015348118649,0.07942064323123936,0.07666666666666666,0.05877369523390764,0.009438236061017883,"CP 32, CP 31, CP59","CP 27, CP60, CP 25"
DNA_median,0.04000653724186123,0.048875818538169066,0.008869281296307839,0.03692617321123005,0.0386426089847975,0.13166666666666665,5.9469632377973204e-05,0.009130719189221658,"CP 32, CP 31, CP59","CP 27, CP60, CP 25"
Mito_dynamic_range,0.17988954746583463,0.1711895473479914,-0.00870000011784322,0.06716861416569563,0.06421718902515172,0.06333333333333334,0.18017235721663455,0.008700000117843205,"CP 32, CP 31, CP59","CP 27, CP60, CP 25"
Mito_p95,0.21195490792890376,0.2034509861965974,-0.008503921732306352,0.08003323505560503,0.07717878474432144,0.058333333333333334,0.25920433878059906,0.008503921732306336,"CP 32, CP 31, CP59","CP 27, CP60, CP 25"
DNA_mean,0.07461579607023547,0.08225507179119934,0.007639275720963873,0.03642798074649226,0.03757981698031854,0.11,0.0013941342763267386,0.00821084444100658,"CP 32, CP 31, CP59","CP 27, CP60, CP 25"
RNA_mean,0.04838375108782202,0.05650735097161184,0.008123599883789814,0.02334202712607138,0.024040344568412166,0.13166666666666665,5.9469632377973204e-05,0.008177829844256242,"CP 32, CP 31, CP59","CP 27, CP60, CP 25"
Mito_sat_low,0.1129212162780064,0.11180421239140374,-0.0011170038866026577,0.20750602600164714,0.21409882421247786,0.05,0.44160937318634175,0.007336745541838138,"CP 32, CP 31, CP59","CP 27, CP60, CP 25"
ER_p5,0.02112418373581022,0.027490196956011157,0.006366013220200938,0.009048396146616214,0.011374735225459197,0.255,1.5242006680909866e-17,0.006418300801888109,"CP 32, CP 31, CP59","CP 27, CP60, CP 25"
RNA_median,0.025398693659808486,0.031405229752417656,0.00600653609260917,0.013357987276567068,0.013956008897015853,0.18833333333333332,1.025484566617404e-09,0.006098039355129002,"CP 32, CP 31, CP59","CP 27, CP60, CP 25"
AGP_std,0.08754343901450436,0.09235664053509633,0.004813201520591975,0.029699790703587806,0.029241480839389572,0.11,0.0013941342763267386,0.004958123819281657,"CP 32, CP 31, CP59","CP 27, CP60, CP 25"
RNA_p5,0.016777778366425387,0.020862745807195705,0.004084967440770318,0.009183671978864218,0.009630572274179761,0.17833333333333334,9.473006148308762e-09,0.004137255031770715,"CP 32, CP 31, CP59","CP 27, CP60, CP 25"
RNA_std,0.07348388776183129,0.07718691265520951,0.003703024893378218,0.027495177956601197,0.025762093177406166,0.10166666666666667,0.004029732104884785,0.00397699006833136,"CP 32, CP 31, CP59","CP 27, CP60, CP 25"
AGP_p5,0.009830065784044564,0.012771242319916686,0.002941176535872121,0.006070991463859377,0.006621286168808792,0.19833333333333333,9.803606299845364e-11,0.0029934641144548856,"CP 32, CP 31, CP59","CP 27, CP60, CP 25"
DNA_std,0.08552767934277654,0.08689657862608631,0.0013688992833097713,0.02416379915611918,0.024656331074013722,0.09166666666666666,0.012888917414279943,0.002978631928563119,"CP 32, CP 31, CP59","CP 27, CP60, CP 25"
Mito_std,0.069753278195858,0.06686991601251066,-0.0028833621833473377,0.019877458539591504,0.018852467548475912,0.085,0.026161496837300326,0.00288488947786391,"CP 32, CP 31, CP59","CP 27, CP60, CP 25"
DNA_p5,0.011849673682978998,0.014477124755891661,0.002627451072912663,0.005978984963477288,0.006915684580528506,0.17166666666666666,3.8931711559561405e-08,0.0026274510729126645,"CP 32, CP 31, CP59","CP 27, CP60, CP 25"
Mito_iqr,0.049856210543463626,0.0499019621592015,4.575161573787401e-05,0.032530389120911316,0.02980634101346125,0.055,0.32447657397050844,0.0025163400157665224,"CP 32, CP 31, CP59","CP 27, CP60, CP 25"
Mito_median,0.05456209312658757,0.054398694354264684,-0.0001633987723228883,0.03120687270780132,0.02950100613902461,0.035,0.8563650904980769,0.001915032816274713,"CP 32, CP 31, CP59","CP 27, CP60, CP 25"
Mito_mean,0.0798631287831813,0.0782101022832406,-0.0016530264999407018,0.03559199003041537,0.0342865359258816,0.043333333333333335,0.6266525372558418,0.001867265449060749,"CP 32, CP 31, CP59","CP 27, CP60, CP 25"
RNA_iqr,0.009653595018511017,0.011339869600099821,0.0016862745815888047,0.007831884674626297,0.008179014860939875,0.13666666666666666,2.647666493021657e-05,0.0017516340672348932,"CP 32, CP 31, CP59","CP 27, CP60, CP 25"
Mito_p5,0.03206536046306913,0.032261438848606,0.00019607838553686863,0.01606828451740966,0.016034671683926298,0.03166666666666667,0.9246700497978592,0.0008888889259348328,"CP 32, CP 31, CP59","CP 27, CP60, CP 25"
ER_sharpness,0.001435757031843726,0.001994232803523725,0.0005584757716799989,0.0009763290868818241,0.0013278493682957156,0.21166666666666667,3.5289215895971407e-12,0.0005604184226892054,"CP 32, CP 31, CP59","CP 27, CP60, CP 25"
Mito_hf_ratio,0.0018860282796110065,0.0022207693351325966,0.0003347410555215901,0.0009412983948443983,0.0007883719613657698,0.24333333333333335,5.361104613540563e-16,0.0003428961048120982,"CP 32, CP 31, CP59","CP 27, CP60, CP 25"
Mito_sharpness,0.0015696914159101045,0.0017668875464369193,0.0001971961305268148,0.0012090997147399978,0.0011445492444172383,0.155,1.0486756207842088e-06,0.0002180255793670464,"CP 32, CP 31, CP59","CP 27, CP60, CP 25"
ER_hf_ratio,0.0016015952118808249,0.0014009842122807944,-0.0002006109996000305,0.0005974310895854229,0.00047600170619070486,0.2,6.54935365309114e-11,0.00020439584758908798,"CP 32, CP 31, CP59","CP 27, CP60, CP 25"
DNA_sharpness,0.0008708496925828512,0.0010223893892543855,0.00015153969667153428,0.0006051767598154805,0.0006677245722105339,0.12,0.00034899222851716977,0.00015708127228814797,"CP 32, CP 31, CP59","CP 27, CP60, CP 25"
AGP_hf_ratio,0.0008597701091639465,0.0007213644907460549,-0.00013840561841789163,0.00029362733189861913,0.0002385404424692082,0.25166666666666665,4.290724295609935e-17,0.0001395305677579018,"CP 32, CP 31, CP59","CP 27, CP60, CP 25"
RNA_sharpness,0.0010588281277159695,0.0011914515880198451,0.00013262346030387564,0.0007600888005387334,0.0007828938654789304,0.14333333333333334,8.583195809546527e-06,0.00013645722717531798,"CP 32, CP 31, CP59","CP 27, CP60, CP 25"
RNA_hf_ratio,0.0017844484587355206,0.0017467510724479022,-3.7697386287618376e-05,0.0006141449108746236,0.0005742767601557273,0.09833333333333333,0.006017700068371347,7.045853388262911e-05,"CP 32, CP 31, CP59","CP 27, CP60, CP 25"
Mito_sat_high,0.000196307727480567,0.00013208733424782806,-6.422039323273894e-05,0.0008367544018238108,0.00013996544567381237,0.09333333333333334,0.010708019410213113,6.422039323273926e-05,"CP 32, CP 31, CP59","CP 27, CP60, CP 25"
DNA_hf_ratio,0.0008446076662221457,0.0009081068786326796,6.349921241053389e-05,0.0002655388613094771,0.0003049118404637415,0.13,7.735609269088678e-05,6.35663680441212e-05,"CP 32, CP 31, CP59","CP 27, CP60, CP 25"
AGP_sharpness,0.0009192738940328127,0.0009439322610827124,2.465836704989969e-05,0.0007430991993276148,0.0007501609606441673,0.03833333333333333,0.7705457834657514,4.740415571480601e-05,"CP 32, CP 31, CP59","CP 27, CP60, CP 25"
AGP_sat_high,0.00016739826245999086,0.00013236739826246,-3.503086419753086e-05,0.00020021537779649527,8.079221864177838e-05,0.06833333333333333,0.12140986957667256,3.538523090992219e-05,"CP 32, CP 31, CP59","CP 27, CP60, CP 25"
DNA_sat_high,0.0001301954732510288,0.0001306584362139918,4.6296296296298727e-07,5.407232881116486e-05,9.32111971342452e-05,0.065,0.15849804097442632,6.087105624142653e-06,"CP 32, CP 31, CP59","CP 27, CP60, CP 25"
ER_sat_high,0.0001224737082761774,0.00011907293095564699,-3.4007773205304133e-06,6.222660889376018e-05,4.2512600045139074e-05,0.058333333333333334,0.25920433878059906,4.132373113854604e-06,"CP 32, CP 31, CP59","CP 27, CP60, CP 25"
RNA_sat_high,0.00011225422953818014,0.00011326017375400092,1.0059442158207732e-06,1.1766348468126984e-05,1.8648028339444705e-05,0.04833333333333333,0.48536892698523965,1.3603109282121735e-06,"CP 32, CP 31, CP59","CP 27, CP60, CP 25"
