AGP_mean,AGP_std,AGP_median,AGP_p5,AGP_p95,AGP_iqr,AGP_dynamic_range,AGP_sat_low,AGP_sat_high,AGP_sharpness,AGP_hf_ratio,DNA_mean,DNA_std,DNA_median,DNA_p5,DNA_p95,DNA_iqr,DNA_dynamic_range,DNA_sat_low,DNA_sat_high,DNA_sharpness,DNA_hf_ratio,ER_mean,ER_std,ER_median,ER_p5,ER_p95,ER_iqr,ER_dynamic_range,ER_sat_low,ER_sat_high,ER_sharpness,ER_hf_ratio,Mito_mean,Mito_std,Mito_median,Mito_p5,Mito_p95,Mito_iqr,Mito_dynamic_range,Mito_sat_low,Mito_sat_high,Mito_sharpness,Mito_hf_ratio,RNA_mean,RNA_std,RNA_median,RNA_p5,RNA_p95,RNA_iqr,RNA_dynamic_range,RNA_sat_low,RNA_sat_high,RNA_sharpness,RNA_hf_ratio,corr_AGP_DNA,corr_AGP_ER,corr_AGP_Mito,corr_AGP_RNA,corr_DNA_ER,corr_DNA_Mito,corr_DNA_RNA,corr_ER_Mito,corr_ER_RNA,corr_Mito_RNA,Metadata_Batch,Metadata_Sample_ID
0.12083759158849716,0.1089540496468544,0.09019608050584793,0.019607843831181526,0.32549020648002625,0.1647058855742216,0.3058823626488447,0.17434499314128943,0.0001234567901234568,0.0017106685554608703,0.000801224960014224,0.1286226511001587,0.11441709101200104,0.0941176488995552,0.0235294122248888,0.3529411852359772,0.1607843153178692,0.32941177301108837,0.04434499314128944,0.00010631001371742112,0.001852901536040008,0.0007959691574797034,0.17916738986968994,0.11081696301698685,0.1882352977991104,0.04313725605607033,0.3529411852359772,0.19215687736868858,0.30980392917990685,9.259259259259259e-05,0.00011316872427983539,0.003451358759775758,0.0012208111584186554,0.09920071065425873,0.05795161426067352,0.0784313753247261,0.04313725605607033,0.2078431397676468,0.07450981065630913,0.16470588371157646,0.0,9.945130315500686e-05,0.0020120867993682623,0.0023810765706002712,0.0771857351064682,0.1031431332230568,0.04313725605607033,0.027450980618596077,0.34117648005485535,0.0156862735748291,0.31372549943625927,0.0039986282578875175,0.00011316872427983539,0.0023059574887156487,0.002199967158958316,0.9679331183433533,0.8184252381324768,0.7986654043197632,0.6653077602386475,0.7993570566177368,0.8186473846435547,0.638461172580719,0.6826368570327759,0.43793243169784546,0.4369942247867584,CP59,source_3_CP59_BR5871b3_P24_9
0.11734854429960251,0.07967225462198257,0.11372549086809158,0.0117647061124444,0.24313725531101227,0.09803921729326248,0.23137254919856787,0.1289471879286694,0.0001646090534979424,0.0009867354528978467,0.0005346370744518936,0.131952702999115,0.09133567661046982,0.11764705926179886,0.01568627543747425,0.29019609093666077,0.11764705926179886,0.2745098154991865,0.09924554183813443,0.00016803840877914952,0.0012645937968045473,0.000561047054361552,0.2000068873167038,0.09816141426563263,0.20000000298023224,0.03921568766236305,0.3450980484485626,0.09019607305526733,0.30588236078619957,0.0,0.00013031550068587106,0.003670349484309554,0.0012158048339188099,0.12237205356359482,0.08971813321113586,0.0941176488995552,0.0470588244497776,0.3019607961177826,0.07450980693101883,0.254901971668005,0.0,0.00010973936899862826,0.004286653827875853,0.0026300745084881783,0.054555196315050125,0.07580484449863434,0.019607843831181526,0.0117647061124444,0.22745098173618317,0.01568627543747425,0.21568627562373877,0.5325925925925926,0.00011316872427983539,0.0010425959480926394,0.0015688277781009674,0.9586542844772339,0.7296432256698608,0.5687812566757202,0.6522647142410278,0.7340835928916931,0.6842806339263916,0.6146998405456543,0.5092074871063232,0.3464808762073517,0.17675752937793732,CP59,source_3_CP59_BR5867c3_K01_2
0.22027678787708282,0.18062932789325714,0.21176470816135406,0.0235294122248888,0.5254902243614197,0.3294117711484432,0.5019608121365309,0.02836076817558299,0.00015432098765432098,0.0030582936014980078,0.00047234873636625707,0.12671217322349548,0.10390658676624298,0.11372549086809158,0.01568627543747425,0.30588236451148987,0.184313727542758,0.2901960890740156,0.16484567901234567,0.00010631001371742112,0.0010531971929594874,0.0004915280733257532,0.18523384630680084,0.12432775646448135,0.19607843458652496,0.03529411926865578,0.38823530077934265,0.2235294245183468,0.3529411815106869,1.7146776406035666e-05,0.00010973936899862826,0.00262039084918797,0.0009502853499725461,0.15876898169517517,0.10131868720054626,0.13333334028720856,0.062745101749897,0.35686275362968445,0.12156862765550613,0.29411765187978745,0.0,0.00010973936899862826,0.0037508439272642136,0.0014901779359206557,0.07159698754549026,0.09577732533216476,0.0313725508749485,0.019607843831181526,0.3019607961177826,0.011764707043766975,0.28235295228660107,0.08953017832647463,0.00010631001371742112,0.0017696538707241416,0.00163327029440552,0.9629920721054077,0.8315637111663818,0.706123948097229,0.5883360505104065,0.8191554546356201,0.7834020853042603,0.5706090331077576,0.6775062084197998,0.3563821613788605,0.2308920919895172,CP59,source_3_CP59_BR5869a3_E01_6
0.05517313629388809,0.06803758442401886,0.01568627543747425,0.007843137718737125,0.18039216101169586,0.07843137439340353,0.17254902329295874,0.5623971193415638,0.00013374485596707818,0.00040391244692727923,0.0006872083758935332,0.06189804896712303,0.07746360450983047,0.01568627543747425,0.0117647061124444,0.21568627655506134,0.07843137439340353,0.20392157044261694,0.5533539094650206,0.00013374485596707818,0.00043889234075322747,0.0005735715385526419,0.02965613640844822,0.032935041934251785,0.0117647061124444,0.007843137718737125,0.07450980693101883,0.04313725512474775,0.0666666692122817,0.5547839506172839,0.00013374485596707818,0.00022586120758205652,0.0019346526823937893,0.10016094148159027,0.08466324210166931,0.06666667014360428,0.05098039284348488,0.2666666805744171,0.0470588244497776,0.21568628773093224,0.0,0.00011659807956104253,0.002736742375418544,0.0022305469028651714,0.04731028527021408,0.06862052530050278,0.027450980618596077,0.019607843831181526,0.21568627655506134,0.0078431386500597,0.19607843272387981,0.1338443072702332,0.00012002743484224966,0.0007243353757075965,0.0014270469546318054,0.9589296579360962,0.7956390976905823,0.7174554467201233,0.6808809638023376,0.7641960978507996,0.8216446042060852,0.6225529313087463,0.6116933822631836,0.4163261353969574,0.31790873408317566,CP59,source_3_CP59_BR5869d3_G24_8
0.03630811721086502,0.058661751449108124,0.007843137718737125,0.007843137718737125,0.13333334028720856,0.03921568673104048,0.12549020256847143,0.6343484224965706,0.00014060356652949245,0.00025994397583417594,0.0005715912557207048,0.04421476274728775,0.06493637710809708,0.01568627543747425,0.007843137718737125,0.16470588743686676,0.03921568673104048,0.15686274971812963,0.607266803840878,0.00014746227709190672,0.00032787901000119746,0.0006267804419621825,0.049873076379299164,0.0538753904402256,0.019607843831181526,0.01568627543747425,0.125490203499794,0.0549019630998373,0.10980392806231976,0.5171159122085048,0.00011659807956104253,0.00047281509614549577,0.0012795361690223217,0.057792019098997116,0.05287963151931763,0.03921568766236305,0.0313725508749485,0.14901961386203766,0.019607841968536377,0.11764706298708916,8.573388203017832e-05,0.00011316872427983539,0.0005765992100350559,0.001275941263884306,0.021463047713041306,0.03635602071881294,0.0117647061124444,0.007843137718737125,0.09019608050584793,0.00392156932502985,0.0823529427871108,0.8965775034293553,9.945130315500686e-05,0.00027644052170217037,0.0020110290497541428,0.9734708070755005,0.8678305745124817,0.810328483581543,0.7290034294128418,0.8592958450317383,0.8508284687995911,0.6941927075386047,0.764284074306488,0.5244932174682617,0.4872487485408783,CP59,source_3_CP59_BR5868d3_D24_4
0.04386184737086296,0.0725858211517334,0.0117647061124444,0.003921568859368563,0.1764705926179886,0.04313725512474775,0.17254902375862002,0.6032887517146777,0.00016117969821673525,0.00018911682127509266,0.00041730297380127013,0.05239361897110939,0.08394517004489899,0.0117647061124444,0.007843137718737125,0.21568627655506134,0.04313725512474775,0.20784313883632421,0.5730075445816186,0.0001234567901234568,0.00031888147350400686,0.0004409689863678068,0.03278826177120209,0.04327726736664772,0.0117647061124444,0.007843137718737125,0.09019608050584793,0.04313725512474775,0.0823529427871108,0.5465260631001372,0.0002914951989026063,0.00014953476784285158,0.0008622996392659843,0.07280585169792175,0.07438410073518753,0.04313725605607033,0.0313725508749485,0.21568627655506134,0.0313725508749485,0.18431372568011284,8.916323731138545e-05,0.0001234567901234568,0.0009664998506195843,0.001217032317072153,0.017980514094233513,0.03767748177051544,0.007843137718737125,0.007843137718737125,0.08627451211214066,0.003921568393707275,0.07843137439340353,0.9139677640603566,0.00011659807956104253,0.0001606935984455049,0.001438138191588223,0.9659684896469116,0.7535018920898438,0.8229424357414246,0.7061614990234375,0.7301198244094849,0.8850759267807007,0.6522795557975769,0.6462185978889465,0.4551025331020355,0.47254157066345215,CP59,source_3_CP59_BR5871a3_F24_8
0.11309071630239487,0.11957734823226929,0.05882352963089943,0.01568627543747425,0.34117648005485535,0.1647058855742216,0.3254902046173811,0.33701303155006856,0.00010288065843621399,0.00159195507876575,0.0007220373372547328,0.12357179075479507,0.1305994838476181,0.06666667014360428,0.019607843831181526,0.3843137323856354,0.16078431718051434,0.36470588855445385,0.10465363511659807,0.00013031550068587106,0.0017873523756861687,0.0007424879004247487,0.1473718285560608,0.1159868985414505,0.14901961386203766,0.027450980618596077,0.3333333432674408,0.1921568624675274,0.3058823626488447,0.0018141289437585734,0.0001268861454046639,0.00293156411498785,0.001463687396608293,0.10228537023067474,0.0933675691485405,0.062745101749897,0.03921568766236305,0.2980392277240753,0.07450980320572853,0.25882354006171227,0.0,0.00011659807956104253,0.0038527457509189844,0.0027950440999120474,0.062103305011987686,0.08850055932998657,0.0313725508749485,0.019607843831181526,0.2823529541492462,0.011764707043766975,0.2627451103180647,0.05566529492455419,9.945130315500686e-05,0.0012385955778881907,0.0013691859785467386,0.955955445766449,0.79970782995224,0.6846073269844055,0.7107577919960022,0.800603449344635,0.7874076962471008,0.6370587348937988,0.6211193799972534,0.43326428532600403,0.2814425826072693,CP59,source_3_CP59_BR5869d3_C01_1
0.088971346616745,0.1112525537610054,0.0313725508749485,0.019607843831181526,0.3333333432674408,0.0862745102494955,0.31372549943625927,0.05699245541838134,0.0001268861454046639,0.0010501934448257089,0.0008020948735065758,0.06843686103820801,0.08576806634664536,0.027450980618596077,0.019607843831181526,0.24705882370471954,0.05882353149354458,0.22745097987353802,0.18350137174211248,0.00012002743484224966,0.0007313464302569628,0.0008555517997592688,0.0601218082010746,0.05751825496554375,0.027450980618596077,0.019607843831181526,0.1568627506494522,0.07450980506837368,0.13725490681827068,0.17216735253772292,9.945130315500686e-05,0.0007056078757159412,0.0017963605932891369,0.04946759715676308,0.049519143998622894,0.0313725508749485,0.027450980618596077,0.12156862765550613,0.0156862735748291,0.09411764703691006,0.0033882030178326475,0.00010973936899862826,0.0005342463846318424,0.0016727305483072996,0.06930594146251678,0.08121275156736374,0.05098039284348488,0.03529411926865578,0.22745098173618317,0.0156862735748291,0.1921568624675274,4.458161865569273e-05,0.00012002743484224966,0.0010889391414821148,0.0018376513617113233,0.9673335552215576,0.7440277338027954,0.6358124017715454,0.6828871965408325,0.7189972400665283,0.6502187252044678,0.6311336159706116,0.5840420126914978,0.3831804394721985,0.35153862833976746,CP59,source_3_CP59_BR5870d3_P24_4
0.20216062664985657,0.15626317262649536,0.20392157137393951,0.019607843831181526,0.4627451002597809,0.2901960890740156,0.44313725642859936,0.11974622770919068,0.00010973936899862826,0.0034083460923284292,0.0005550656351260841,0.08858998119831085,0.06932666152715683,0.08627451211214066,0.007843137718737125,0.20392157137393951,0.12549020163714886,0.1960784336552024,0.29395747599451305,0.00010631001371742112,0.0005152961239218712,0.00042995557305403054,0.21213087439537048,0.137406587600708,0.21960784494876862,0.03529411926865578,0.43549019992346966,0.24705883488059044,0.4001960806548139,6.17283950617284e-05,0.00013031550068587106,0.0039867740124464035,0.0009507571230642498,0.10358963906764984,0.07829565554857254,0.08627451211214066,0.03529411926865578,0.2549019753932953,0.0784313790500164,0.2196078561246395,9.259259259259259e-05,0.00011659807956104253,0.0033764124382287264,0.0026942966505885124,0.0830574631690979,0.10653481632471085,0.03529411926865578,0.0235294122248888,0.33725491166114807,0.0235294122248888,0.31372549943625927,0.04875857338820302,0.00011659807956104253,0.0019288428593426943,0.0012848152546212077,0.9551236033439636,0.8268761038780212,0.603942334651947,0.5644908547401428,0.8220770955085754,0.6980165243148804,0.5515149235725403,0.584746778011322,0.3473700284957886,0.13385561108589172,CP59,source_3_CP59_BR5871c3_I24_8
0.042379289865493774,0.07017378509044647,0.0117647061124444,0.007843137718737125,0.2078431397676468,0.00392156932502985,0.20000000204890966,0.7644753086419753,9.945130315500686e-05,0.0003807741159107536,0.0008800885989330709,0.055151186883449554,0.0905143991112709,0.019607843831181526,0.0117647061124444,0.25882354378700256,0.00784313678741455,0.24705883767455816,0.7063374485596707,0.00011659807956104253,0.0005989861092530191,0.0007486128597520292,0.06576628983020782,0.07667934894561768,0.0313725508749485,0.019607843831181526,0.2235294133424759,0.0235294122248888,0.20392156951129436,0.05108710562414266,0.00010973936899862826,0.0017324379878118634,0.0028802230954170227,0.08504146337509155,0.07599151134490967,0.062745101749897,0.0470588244497776,0.2235294133424759,0.0156862773001194,0.1764705888926983,0.0,0.00011316872427983539,0.0017035627970471978,0.0019586600828915834,0.041111189872026443,0.06378379464149475,0.027450980618596077,0.019607843831181526,0.16862745583057404,0.0078431386500597,0.1490196119993925,0.17518175582990397,0.00010973936899862826,0.0006057381397113204,0.0013940132921561599,0.9615222811698914,0.8584251999855042,0.8021100759506226,0.6882959604263306,0.8543984889984131,0.8713082671165466,0.6175476908683777,0.7185265421867371,0.4990691840648651,0.3990045189857483,CP59,source_3_CP59_BR5869c3_N01_4
