method,n_folds,mean_acc,std_acc,min_acc,max_acc,mean_worst_domain_acc,mean_best_domain_acc
erm,15,0.8478961785634359,0.035295199306490076,0.7777777910232544,0.9017094373703003,0.8252060214678446,0.8729798078536988
dann,15,0.8247475703557332,0.038259063517223135,0.7329204082489014,0.8892450332641602,0.8042714913686116,0.846919854482015
instance_norm,15,0.8559381484985351,0.05699648480843267,0.7374567985534668,0.9274306297302246,0.8233505566914876,0.8901276350021362
